Date,^GSPC,^HSI,^N225
2015-07-29,2108.570068359375,24619.44921875,20302.91015625
2015-07-30,2108.6298828125,24497.98046875,20522.830078125
2015-07-31,2103.840087890625,24636.279296875,20585.240234375
2015-08-03,2098.0400390625,24411.419921875,20548.109375
2015-08-04,2093.320068359375,24406.119140625,20520.359375
2015-08-05,2099.840087890625,24514.16015625,20614.060546875
2015-08-06,2083.56005859375,24375.279296875,20664.439453125
2015-08-07,2077.570068359375,24552.470703125,20724.560546875
2015-08-10,2104.179931640625,24521.119140625,20808.689453125
2015-08-11,2084.070068359375,24498.2109375,20720.75
2015-08-12,2086.050048828125,23916.01953125,20392.76953125
2015-08-13,2083.389892578125,24018.80078125,20595.55078125
2015-08-14,2091.5400390625,23991.029296875,20519.44921875
2015-08-17,2102.43994140625,23814.650390625,20620.259765625
2015-08-18,2096.919921875,23474.970703125,20554.470703125
2015-08-19,2079.610107421875,23167.849609375,20222.630859375
2015-08-20,2035.72998046875,22757.470703125,20033.51953125
2015-08-21,1970.8900146484375,22409.619140625,19435.830078125
2015-08-24,1893.2099609375,21251.5703125,18540.6796875
2015-08-25,1867.6099853515625,21404.9609375,17806.69921875
2015-08-26,1940.510009765625,21080.390625,18376.830078125
2015-08-27,1987.6600341796875,21838.5390625,18574.439453125
2015-08-28,1988.8699951171875,21612.390625,19136.3203125
2015-08-31,1972.1800537109375,21670.580078125,18890.48046875
2015-09-01,1913.8499755859375,21185.4296875,18165.689453125
2015-09-02,1948.8599853515625,20934.939453125,18095.400390625
2015-09-04,1921.219970703125,20840.609375,17792.16015625
2015-09-08,1969.4100341796875,21259.0390625,17427.080078125
2015-09-09,1942.0400390625,22131.310546875,18770.509765625
2015-09-10,1952.2900390625,21562.5,18299.619140625
2015-09-11,1961.050048828125,21504.369140625,18264.220703125
2015-09-14,1953.030029296875,21561.900390625,17965.69921875
2015-09-15,1978.0899658203125,21455.23046875,18026.48046875
2015-09-16,1995.31005859375,21966.66015625,18171.599609375
2015-09-17,1990.199951171875,21854.630859375,18432.26953125
2015-09-18,1958.030029296875,21920.830078125,18070.2109375
2015-09-24,1932.239990234375,21095.98046875,17571.830078125
2015-09-25,1931.3399658203125,21186.3203125,17880.509765625
2015-09-29,1884.0899658203125,20556.599609375,16930.83984375
2015-09-30,1920.030029296875,20846.30078125,17388.150390625
2015-10-02,1951.3599853515625,21506.08984375,17725.130859375
2015-10-05,1987.050048828125,21854.5,18005.490234375
2015-10-06,1979.9200439453125,21831.619140625,18186.099609375
2015-10-07,1995.8299560546875,22515.759765625,18322.98046875
2015-10-08,2013.4300537109375,22354.91015625,18141.169921875
2015-10-09,2014.8900146484375,22458.80078125,18438.669921875
2015-10-13,2003.68994140625,22600.4609375,18234.740234375
2015-10-14,1994.239990234375,22439.91015625,17891.0
2015-10-15,2023.8599853515625,22888.169921875,18096.900390625
2015-10-16,2033.1099853515625,23067.369140625,18291.80078125
2015-10-19,2033.6600341796875,23075.609375,18131.23046875
2015-10-20,2030.77001953125,22989.220703125,18207.150390625
2015-10-22,2052.510009765625,22845.369140625,18435.869140625
2015-10-23,2075.14990234375,23151.939453125,18825.30078125
2015-10-26,2071.179931640625,23116.25,18947.119140625
2015-10-27,2065.889892578125,23142.73046875,18777.0390625
2015-10-28,2090.35009765625,22956.5703125,18903.01953125
2015-10-29,2089.409912109375,22819.939453125,18935.7109375
2015-10-30,2079.360107421875,22640.0390625,19083.099609375
2015-11-02,2104.050048828125,22370.0390625,18683.240234375
2015-11-04,2102.31005859375,23053.5703125,18926.91015625
2015-11-05,2099.929931640625,23051.0390625,19116.41015625
2015-11-06,2099.199951171875,22867.330078125,19265.599609375
2015-11-09,2078.580078125,22726.76953125,19642.740234375
2015-11-10,2081.719970703125,22401.69921875,19671.259765625
2015-11-11,2075.0,22352.169921875,19691.390625
2015-11-12,2045.969970703125,22888.919921875,19697.76953125
2015-11-13,2023.0400390625,22396.140625,19596.91015625
2015-11-16,2053.18994140625,22010.8203125,19393.689453125
2015-11-17,2050.43994140625,22264.25,19630.630859375
2015-11-18,2083.580078125,22188.259765625,19649.1796875
2015-11-19,2081.239990234375,22500.220703125,19859.810546875
2015-11-20,2089.169921875,22754.720703125,19879.810546875
2015-11-24,2089.139892578125,22587.630859375,19924.890625
2015-11-25,2088.8701171875,22498.0,19847.580078125
2015-11-27,2090.110107421875,22068.3203125,19883.939453125
2015-11-30,2080.409912109375,21996.419921875,19747.470703125
2015-12-01,2102.6298828125,22381.349609375,20012.400390625
2015-12-02,2079.510009765625,22479.689453125,19938.130859375
2015-12-03,2049.6201171875,22417.009765625,19939.900390625
2015-12-04,2091.68994140625,22235.890625,19504.48046875
2015-12-07,2077.070068359375,22203.220703125,19698.150390625
2015-12-08,2063.590087890625,21905.130859375,19492.599609375
2015-12-09,2047.6199951171875,21803.759765625,19301.0703125
2015-12-10,2052.22998046875,21704.609375,19046.55078125
2015-12-11,2012.3699951171875,21464.05078125,19230.48046875
